codice,"sito associazione",email
2,http://albertinomussato.org/,info@albertinomussato.org
3,http://associazionevox.com,info@associazionevox.com
4,http://associazionevox.com,info@associazionevox.it
19,http://www.coritoscana.it,info@coritoscana.it
20,http://cultura.regione.emilia-romagna.it,urp@regione.emilia-romagna.it
21,http://cultura.regione.emilia-romagna.it,urp@postacert.regione.emilia-romagna.it
22,http://cultura.regione.emilia-romagna.it,cultura@regione.emilia-romagna.it
27,http://www.ascomini1885.org/,ascomini@federscherma.it
28,http://www.lamusicainterna.it,info@lamusicainterna.it
29,http://www.provincia.ra.it,urp@mail.provincia.ra.it
30,http://www.provincia.ra.it,provra@cert.provincia.ra.it
31,http://www.corosantospirito.it/,info@corosantospirito.it
32,http://www.corosantospirito.it/,bighi.francesco@gmail.com
33,http://www.laprimaweb.it,redazione@laprimaweb.it
34,http://www.corsincitta.it,info@corsincitta.it
37,http://www.provincia.re.it,info@provincia.re.it
54,http://www.ass-columna.org/,columna.associazione@gmail.com
55,http://www.ass-columna.org/,info@ass-columna.org
57,http://www.cralulss16.it/,mfarinazzo@libero.it
59,http://www.assbalbinodelnunzio.it/,info@assbalbinodelnunzio.it
67,http://www.lettere.unipd.it/cmp,scienzeumane@unipd.it
71,http://www.csibologna.it/,info@csibologna.it
72,http://www.csibologna.it/,presidenza@csibologna.it
73,http://www.csibologna.it/,amministrazione@csibologna.it
74,http://www.csibologna.it/,ufficiostampa@csibologna.it
75,http://www.regione.emilia-romagna.it,er@regione.emilia-romagna.it
76,http://www.csibologna.it/,attivitasportiva@csibologna.it
77,http://www.regione.emilia-romagna.it,urp@regione.emilia-romagna.it
78,http://www.csibologna.it/,tesseramento@csibologna.it
79,http://www.regione.emilia-romagna.it,urp@postacert.regione.emilia-romagna.it
80,http://www.csibologna.it/,formazione@csibologna.it
81,http://www.assinsieme.com,rubano@babybazar.it
83,http://www.ctgveneto.it/,ctgvenetocomunicazione@virgilio.it
84,http://www.ctgveneto.it/,ctg@ctg.it
